"ga:nextPagePath";"ga:landingPagePath";"ga:pageviews";"ga:timeOnPage";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_list_admin.php?IBLOCK_ID=29&type=www&lang=ru&find_section_section=0";"http://sstu.ru/";"1";"7.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_list_admin.php?IBLOCK_ID=34&type=www&lang=ru&find_section_section=0&bitrix_include_areas=N";"http://sstu.ru/";"2";"14.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_list_admin.php?IBLOCK_ID=35&type=www&lang=ru&find_section_section=0&bitrix_include_areas=N";"http://sstu.ru/";"2";"582.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_section_admin.php?IBLOCK_ID=20&type=www&lang=ru&find_section_section=102&bitrix_include_areas=N";"http://sstu.ru/";"14";"3529.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_section_admin.php?IBLOCK_ID=20&type=www&lang=ru&find_section_section=111&bitrix_include_areas=N";"http://sstu.ru/";"1";"5.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_section_admin.php?IBLOCK_ID=20&type=www&lang=ru&find_section_section=208&bitrix_include_areas=N";"http://sstu.ru/";"1";"2.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_section_admin.php?IBLOCK_ID=20&type=www&lang=ru&find_section_section=235&bitrix_include_areas=N";"http://sstu.ru/";"1";"2.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_section_admin.php?IBLOCK_ID=31&type=www&lang=ru&find_section_section=294&bitrix_include_areas=N";"http://sstu.ru/";"1";"4.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/security_iprule_admin.php?lang=ru";"http://sstu.ru/";"1";"1140.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/update_system.php?lang=ru";"http://sstu.ru/";"1";"212.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/user_admin.php?PAGEN_1=1&SIZEN_1=20&lang=ru&set_filter=Y&adm_filter_applied=0&find_type=name&by=last_login&order=desc&_r=7592";"http://sstu.ru/";"4";"560.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/user_admin.php?lang=ru";"http://sstu.ru/";"4";"93.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/user_edit.php?lang=ru&ID=128";"http://sstu.ru/";"2";"363.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/user_edit.php?lang=ru&ID=177";"http://sstu.ru/";"1";"11.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/workflow_history_view.php?lang=ru&ID=5404";"http://sstu.ru/";"1";"6.0";
"http://sstu.ru/?bitrix_include_areas=N";"http://sstu.ru/";"32";"3777.0";
"http://sstu.ru/?bitrix_include_areas=N&clear_cache=Y";"http://sstu.ru/";"5";"282.0";
"http://sstu.ru/?bitrix_include_areas=Y";"http://sstu.ru/";"7";"538.0";
"http://sstu.ru/?bitrix_include_areas=Y&clear_cache=Y";"http://sstu.ru/";"38";"817.0";
"http://sstu.ru/?clear_cache=Y";"http://sstu.ru/";"13";"3426.0";
"http://sstu.ru/?lang=ru";"http://sstu.ru/";"1";"22.0";
